---- ma-max: proto/simple.proto ----
7 0 1 3 0
4 1 1 4 1
4 1 0 2 1
5 0 1 2 1
4 1 0 4 0
3 0 1 4 0
3 0 1 4 1
3 0 1 0 0
3 0 0 4 0
5 0 0 2 0
5 0 0 6 0
6 0 0 6 1
7 0 0 3 0
3 0 1 0 1
3 0 0 4 1
2 0 0 0 0
3 1 1 0 0
2 0 0 0 1
2 0 0 5 0
2 1 0 0 0
4 1 0 4 1
5 0 0 2 1
2 0 0 5 1
2 1 0 0 1
1 0 1 5 0
2 1 0 5 0
1 0 1 5 1
0 0 1 1 0
1 1 1 5 0
---- ma-max: proto/simple.proto END ----
---- ma-max: proto/depot-pfile1.proto ----
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
4 3 0 2 0 0 1 0 1 0 1 0 0 3 6
4 3 3 2 0 1 1 0 1 1 0 0 0 3 2
4 1 3 2 0 1 0 0 0 1 0 1 0 7 2
4 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 1 0 1 1 0 0 0 3 1
4 3 3 2 2 0 1 0 1 1 0 0 0 3 1
4 3 3 0 0 0 1 0 1 1 0 0 0 3 1
3 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
3 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
1 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
4 3 0 2 0 0 1 0 1 0 1 0 0 3 6
4 3 3 2 0 1 1 0 1 1 0 0 0 3 2
4 1 3 2 0 1 0 0 0 1 0 1 0 7 2
4 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 1 0 1 1 0 0 0 3 1
4 3 3 2 2 0 1 0 1 1 0 0 0 3 1
4 3 3 0 0 0 1 0 1 1 0 0 0 3 1
3 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
3 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
1 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
4 3 0 2 0 0 1 0 1 0 1 0 0 3 6
4 3 3 2 0 1 1 0 1 1 0 0 0 3 2
4 1 3 2 0 1 0 0 0 1 0 1 0 7 2
4 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 1 0 1 1 0 0 0 3 1
4 3 3 2 2 0 1 0 1 1 0 0 0 3 1
4 3 3 0 0 0 1 0 1 1 0 0 0 3 1
3 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
3 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
1 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
4 3 0 2 0 0 1 0 1 0 1 0 0 3 6
4 3 3 2 0 1 1 0 1 1 0 0 0 3 2
4 1 3 2 0 1 0 0 0 1 0 1 0 7 2
4 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 1 0 1 1 0 0 0 3 1
4 3 3 2 2 0 1 0 1 1 0 0 0 3 1
4 3 3 0 0 0 1 0 1 1 0 0 0 3 1
3 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
3 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
1 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
4 3 0 2 0 0 1 0 1 0 1 0 0 3 6
4 3 3 2 0 1 1 0 1 1 0 0 0 3 2
4 1 3 2 0 1 0 0 0 1 0 1 0 7 2
4 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 1 0 1 1 0 0 0 3 1
4 3 3 2 2 0 1 0 1 1 0 0 0 3 1
4 3 3 0 0 0 1 0 1 1 0 0 0 3 1
3 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
3 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
3 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
1 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
---- ma-max: proto/depot-pfile1.proto END ----
---- ma-max: proto/depot-pfile5.proto ----
6 2 0 2 0 0 2 1 1 1 2 0 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 16 14 5 6 8 7 15 11 12 10
6 2 0 2 0 0 2 1 1 1 3 0 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 16 14 5 6 8 7 15 11 12 4
6 2 0 2 0 0 2 1 1 3 2 0 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
6 2 0 2 0 0 2 1 1 3 3 0 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
6 2 0 2 0 3 2 1 1 3 2 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
6 2 0 2 0 0 2 1 1 3 2 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 1 10
6 2 0 2 0 0 2 1 1 3 2 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
6 2 0 2 0 0 2 1 1 3 2 0 2 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
6 2 0 2 0 0 2 1 1 3 2 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
6 2 0 2 0 0 2 1 1 3 2 2 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
6 2 0 2 0 3 2 1 1 3 3 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 4
6 2 0 2 0 0 2 1 1 3 3 0 1 0 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 1 4
6 2 0 2 0 0 2 1 1 3 3 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
6 2 0 2 0 0 2 1 1 3 3 0 2 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
6 2 0 2 0 0 2 1 1 3 3 1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
6 2 0 2 0 0 2 1 1 3 3 2 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
6 2 0 2 0 3 2 1 1 1 2 0 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 2 7 15 11 12 10
6 2 0 2 0 3 2 1 1 3 2 0 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 1 10
5 2 0 2 0 3 2 1 1 3 2 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
6 2 0 2 0 3 2 1 1 3 2 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
6 2 0 2 0 3 2 1 1 3 2 0 2 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
6 2 0 2 0 3 2 1 1 3 3 0 2 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 4
6 2 0 2 0 3 2 1 1 1 2 0 2 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 2 7 15 11 12 10
5 2 0 2 0 3 2 1 1 3 2 0 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 3 3 0 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
5 2 0 2 3 3 2 1 1 3 2 0 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 1 2 0 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
5 2 0 2 0 3 2 1 1 3 2 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 3 2 1 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 3 3 1 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
5 2 0 2 3 3 2 1 1 3 2 1 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 1 2 1 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
5 2 0 2 0 3 2 1 1 3 2 1 2 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 0 10
5 2 0 2 0 3 2 1 1 3 2 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 3 2 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 0 3 2 1 1 3 2 2 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 3 3 1 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
5 2 0 2 3 3 2 1 1 1 2 1 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
5 2 0 2 3 3 2 1 1 3 2 1 2 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 0 10
5 2 0 2 3 3 2 1 1 3 2 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 3 2 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 3 2 2 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 3 3 0 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
5 2 0 2 0 3 2 1 1 1 3 0 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
5 2 0 2 0 3 2 1 1 3 3 0 2 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 0 3 2 1 1 3 3 0 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
5 2 0 2 0 3 2 1 1 3 3 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
5 2 0 2 0 3 2 1 1 3 3 2 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
5 2 0 2 3 3 2 1 1 1 2 0 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
5 2 0 2 0 3 2 1 1 1 2 0 0 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
5 2 0 2 0 3 2 1 1 1 2 0 1 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
5 2 0 2 0 3 2 1 1 1 2 2 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
5 2 0 2 3 3 2 1 1 3 3 2 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
6 2 0 2 3 3 2 1 1 3 2 2 2 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 4 7 15 11 3 10
5 2 0 2 3 3 2 1 1 1 2 2 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
5 2 0 2 3 3 2 1 1 3 2 2 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 3 2 2 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
5 2 0 2 3 3 2 1 1 1 3 0 2 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 16 14 5 2 0 7 15 11 12 4
6 2 0 2 0 3 2 1 1 1 3 0 2 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 2 7 15 11 12 4
5 2 0 2 0 3 2 1 1 1 3 0 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
5 2 0 2 0 3 2 1 1 1 3 0 0 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
5 2 0 2 0 3 2 1 1 1 3 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
5 2 0 2 0 3 2 1 1 1 3 1 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
5 2 0 2 0 3 2 1 1 1 3 2 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
5 2 0 2 0 3 3 1 1 3 3 0 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 3 3 3 1 1 3 3 0 2 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
6 2 0 2 0 3 3 1 1 3 3 0 2 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 2 4 15 11 3 1
5 2 0 2 0 3 3 1 1 1 3 0 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 0 3 3 1 1 3 3 0 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 1 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 1 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 3 3 3 1 1 1 3 0 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
6 2 0 2 0 3 3 1 1 1 3 0 2 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 2 4 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 0 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 1 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 2 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 3 3 3 1 1 3 3 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
6 2 0 2 0 3 3 1 1 3 3 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 2
6 2 0 2 0 3 3 1 1 3 3 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 2 4 15 11 3 1
5 2 0 2 0 3 2 1 1 3 3 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 1 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 3 3 3 1 1 3 3 2 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
6 2 0 2 0 3 3 1 1 3 3 2 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 2
5 2 0 2 0 3 3 1 1 1 3 2 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 0 3 2 1 1 3 3 2 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 0 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
5 2 0 2 3 3 3 1 1 3 3 2 2 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
5 2 0 2 0 3 2 1 1 3 3 2 2 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 1 15 11 3 1
5 2 0 2 0 3 3 1 1 3 3 2 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 0 15 11 3 1
5 2 0 2 3 3 3 1 1 1 3 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
6 2 0 2 0 3 3 1 1 1 3 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 2
6 2 0 2 0 3 3 1 1 1 3 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 2 4 15 11 12 1
5 2 0 2 0 3 2 1 1 1 3 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
6 2 0 2 0 3 3 1 1 1 3 1 2 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 3 4 15 11 12 1
5 2 0 2 3 3 3 1 1 1 3 1 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
5 2 0 2 0 3 2 1 1 1 3 1 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 1 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 3 3 3 1 1 1 3 2 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
5 2 0 2 0 3 2 1 1 1 3 2 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 2 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 2 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 0 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 2 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
5 2 0 2 3 3 2 1 1 3 3 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 1
6 2 0 2 0 3 2 1 1 3 3 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 2
6 2 0 2 0 3 2 1 1 3 3 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 1
5 2 0 2 0 3 2 1 1 3 3 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 0 3 2 1 1 3 3 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
5 2 0 2 3 3 3 1 1 1 3 2 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
6 2 0 2 0 3 3 1 1 1 3 2 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 2
5 2 0 2 0 3 2 1 1 1 3 2 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
5 2 0 2 0 3 3 1 1 1 3 2 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 0 15 11 12 1
5 2 0 2 3 3 2 1 1 3 3 2 2 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 1
