---- ma-dtg: proto/simple.proto ----
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
7 3 0 2 0 0 1 0 1 0 1 0 0 3 6
9 3 3 2 0 1 1 0 1 1 0 0 0 3 2
6 1 3 2 0 1 0 0 0 1 0 1 0 7 2
7 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
7 3 3 2 1 0 1 0 1 1 0 0 0 3 1
7 3 3 2 2 0 1 0 1 1 0 0 0 3 1
7 3 3 0 0 0 1 0 1 1 0 0 0 3 1
7 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
4 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
2 3 1 2 1 0 0 0 1 0 0 1 0 1 7
5 3 1 2 1 0 1 0 1 0 0 1 0 3 7
2 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
2 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
5 1 0 2 0 0 0 0 0 0 1 1 0 7 6
6 3 0 2 0 0 1 0 1 0 1 0 0 3 6
8 3 3 2 0 1 1 0 1 1 0 0 0 3 2
8 1 3 2 0 1 0 0 0 1 0 1 0 7 2
7 3 3 2 0 0 1 0 1 1 0 0 0 3 1
6 1 3 2 0 0 0 0 0 1 0 1 0 7 1
6 3 3 2 1 0 1 0 1 1 0 0 0 3 1
7 3 3 2 2 0 1 0 1 1 0 0 0 3 1
7 3 3 0 0 0 1 0 1 1 0 0 0 3 1
6 3 3 1 0 0 1 0 1 1 0 0 0 3 1
5 1 3 2 1 0 0 0 0 1 0 1 0 7 1
4 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
2 3 1 2 1 0 0 0 1 0 0 1 0 1 7
4 3 1 2 1 0 1 0 1 0 0 1 0 3 7
2 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
2 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
6 3 0 2 0 0 1 0 1 0 1 0 0 3 6
9 3 3 2 0 1 1 0 1 1 0 0 0 3 2
7 1 3 2 0 1 0 0 0 1 0 1 0 7 2
6 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
6 3 3 2 1 0 1 0 1 1 0 0 0 3 1
6 3 3 2 2 0 1 0 1 1 0 0 0 3 1
7 3 3 0 0 0 1 0 1 1 0 0 0 3 1
7 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
5 3 3 2 1 0 0 0 1 1 0 0 0 1 1
4 3 3 2 1 0 1 0 1 1 0 0 0 1 3
3 3 1 2 1 0 0 0 1 0 0 1 0 1 7
4 3 1 2 1 0 1 0 1 0 0 1 0 3 7
3 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
2 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
7 3 0 2 0 0 1 0 1 0 1 0 0 3 6
10 3 3 2 0 1 1 0 1 1 0 0 0 3 2
7 1 3 2 0 1 0 0 0 1 0 1 0 7 2
7 3 3 2 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 0 0 0 0 0 1 0 1 0 7 1
7 3 3 2 1 0 1 0 1 1 0 0 0 3 1
7 3 3 2 2 0 1 0 1 1 0 0 0 3 1
7 3 3 0 0 0 1 0 1 1 0 0 0 3 1
7 3 3 1 0 0 1 0 1 1 0 0 0 3 1
4 1 3 2 1 0 0 0 0 1 0 1 0 7 1
4 3 3 2 1 0 0 0 1 1 0 0 0 1 1
3 3 3 2 1 0 1 0 1 1 0 0 0 1 3
2 3 1 2 1 0 0 0 1 0 0 1 0 1 7
5 3 1 2 1 0 1 0 1 0 0 1 0 3 7
2 3 1 2 0 0 0 0 1 0 0 1 0 1 7
2 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
2 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
4 1 0 2 0 0 0 0 0 0 1 1 0 7 6
7 3 0 2 0 0 1 0 1 0 1 0 0 3 6
10 3 3 2 0 1 1 0 1 1 0 0 0 3 2
7 1 3 2 0 1 0 0 0 1 0 1 0 7 2
11 3 3 2 0 0 1 0 1 1 0 0 0 3 1
8 1 3 2 0 0 0 0 0 1 0 1 0 7 1
12 3 3 2 1 0 1 0 1 1 0 0 0 3 1
12 3 3 2 2 0 1 0 1 1 0 0 0 3 1
11 3 3 0 0 0 1 0 1 1 0 0 0 3 1
11 3 3 1 0 0 1 0 1 1 0 0 0 3 1
9 1 3 2 1 0 0 0 0 1 0 1 0 7 1
13 3 3 2 1 0 0 0 1 1 0 0 0 1 1
8 3 3 2 1 0 1 0 1 1 0 0 0 1 3
7 3 1 2 1 0 0 0 1 0 0 1 0 1 7
5 3 1 2 1 0 1 0 1 0 0 1 0 3 7
6 3 1 2 0 0 0 0 1 0 0 1 0 1 7
7 3 1 2 2 0 0 0 1 0 0 1 0 1 7
1 3 1 2 2 0 0 1 1 0 0 1 0 4 7
2 3 3 2 2 0 1 1 1 1 0 0 0 4 3
0 2 1 2 2 0 0 0 0 0 0 1 1 8 7
---- ma-dtg: proto/depot-pfile1.proto END ----
---- ma-dtg: proto/depot-pfile5.proto ----
20 2 0 2 0 0 2 1 1 1 2 0 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 16 14 5 6 8 7 15 11 12 10
22 2 0 2 0 0 2 1 1 1 3 0 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 16 14 5 6 8 7 15 11 12 4
19 2 0 2 0 0 2 1 1 3 2 0 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
21 2 0 2 0 0 2 1 1 3 3 0 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
18 2 0 2 0 3 2 1 1 3 2 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
21 2 0 2 0 0 2 1 1 3 2 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 1 10
19 2 0 2 0 0 2 1 1 3 2 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
19 2 0 2 0 0 2 1 1 3 2 0 2 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
19 2 0 2 0 0 2 1 1 3 2 1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
19 2 0 2 0 0 2 1 1 3 2 2 1 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 16 14 5 6 8 7 15 11 3 10
20 2 0 2 0 3 2 1 1 3 3 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 4
23 2 0 2 0 0 2 1 1 3 3 0 1 0 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 1 4
21 2 0 2 0 0 2 1 1 3 3 0 0 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
21 2 0 2 0 0 2 1 1 3 3 0 2 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
22 2 0 2 0 0 2 1 1 3 3 1 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
22 2 0 2 0 0 2 1 1 3 3 2 1 0 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 16 14 5 6 8 7 15 11 3 4
19 2 0 2 0 3 2 1 1 1 2 0 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 2 7 15 11 12 10
20 2 0 2 0 3 2 1 1 3 2 0 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 1 10
19 2 0 2 0 3 2 1 1 3 2 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
18 2 0 2 0 3 2 1 1 3 2 0 0 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
18 2 0 2 0 3 2 1 1 3 2 0 2 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 2 7 15 11 3 10
20 2 0 2 0 3 2 1 1 3 3 0 2 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 4
19 2 0 2 0 3 2 1 1 1 2 0 2 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 2 7 15 11 12 10
19 2 0 2 0 3 2 1 1 3 2 0 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
21 2 0 2 0 3 2 1 1 3 3 0 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
19 2 0 2 3 3 2 1 1 3 2 0 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
20 2 0 2 0 3 2 1 1 1 2 0 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
19 2 0 2 0 3 2 1 1 3 2 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
20 2 0 2 0 3 2 1 1 3 2 1 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
22 2 0 2 0 3 2 1 1 3 3 1 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
20 2 0 2 3 3 2 1 1 3 2 1 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
21 2 0 2 0 3 2 1 1 1 2 1 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
21 2 0 2 0 3 2 1 1 3 2 1 2 0 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 0 10
20 2 0 2 0 3 2 1 1 3 2 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
20 2 0 2 0 3 2 1 1 3 2 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
20 2 0 2 0 3 2 1 1 3 2 2 2 0 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 16 14 5 6 0 7 15 11 3 10
22 2 0 2 3 3 2 1 1 3 3 1 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
22 2 0 2 3 3 2 1 1 1 2 1 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
22 2 0 2 3 3 2 1 1 3 2 1 2 1 0 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 0 10
20 2 0 2 3 3 2 1 1 3 2 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
20 2 0 2 3 3 2 1 1 3 2 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
20 2 0 2 3 3 2 1 1 3 2 2 2 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
21 2 0 2 3 3 2 1 1 3 3 0 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
22 2 0 2 0 3 2 1 1 1 3 0 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
20 2 0 2 0 3 2 1 1 3 3 0 2 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
21 2 0 2 0 3 2 1 1 3 3 0 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
21 2 0 2 0 3 2 1 1 3 3 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
22 2 0 2 0 3 2 1 1 3 3 2 2 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 4
21 2 0 2 3 3 2 1 1 1 2 0 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
20 2 0 2 0 3 2 1 1 1 2 0 0 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
20 2 0 2 0 3 2 1 1 1 2 0 1 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
21 2 0 2 0 3 2 1 1 1 2 2 2 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 16 14 5 6 0 7 15 11 12 10
22 2 0 2 3 3 2 1 1 3 3 2 2 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 4
21 2 0 2 3 3 2 1 1 3 2 2 2 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 4 7 15 11 3 10
22 2 0 2 3 3 2 1 1 1 2 2 2 1 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 16 14 5 2 0 7 15 11 12 10
20 2 0 2 3 3 2 1 1 3 2 2 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
20 2 0 2 3 3 2 1 1 3 2 2 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 16 14 5 2 0 7 15 11 3 10
23 2 0 2 3 3 2 1 1 1 3 0 2 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 16 14 5 2 0 7 15 11 12 4
21 2 0 2 0 3 2 1 1 1 3 0 2 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 2 7 15 11 12 4
21 2 0 2 0 3 2 1 1 1 3 0 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
22 2 0 2 0 3 2 1 1 1 3 0 0 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
22 2 0 2 0 3 2 1 1 1 3 0 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
23 2 0 2 0 3 2 1 1 1 3 1 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
23 2 0 2 0 3 2 1 1 1 3 2 2 0 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 4
22 2 0 2 0 3 3 1 1 3 3 0 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
22 2 0 2 3 3 3 1 1 3 3 0 2 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
21 2 0 2 0 3 3 1 1 3 3 0 2 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 2 4 15 11 3 1
23 2 0 2 0 3 3 1 1 1 3 0 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
20 2 0 2 0 3 3 1 1 3 3 0 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 1 15 11 3 1
21 2 0 2 0 3 3 1 1 3 3 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
22 2 0 2 0 3 3 1 1 3 3 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
23 2 0 2 0 3 3 1 1 3 3 1 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
23 2 0 2 0 3 3 1 1 3 3 2 2 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
24 2 0 2 3 3 3 1 1 1 3 0 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 0 2 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 2 4 15 11 12 1
21 2 0 2 0 3 3 1 1 1 3 0 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
23 2 0 2 0 3 3 1 1 1 3 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
24 2 0 2 0 3 3 1 1 1 3 1 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
24 2 0 2 0 3 3 1 1 1 3 2 2 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
21 2 0 2 3 3 3 1 1 3 3 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
20 2 0 2 0 3 3 1 1 3 3 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 2
20 2 0 2 0 3 3 1 1 3 3 0 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 2 4 15 11 3 1
19 2 0 2 0 3 2 1 1 3 3 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
22 2 0 2 0 3 3 1 1 3 3 1 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
22 2 0 2 0 3 3 1 1 3 3 2 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
22 2 0 2 3 3 3 1 1 3 3 2 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
21 2 0 2 0 3 3 1 1 3 3 2 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 2
23 2 0 2 0 3 3 1 1 1 3 2 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
20 2 0 2 0 3 2 1 1 3 3 2 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
20 2 0 2 0 3 3 1 1 3 3 2 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 0 15 11 3 1
23 2 0 2 0 3 3 1 1 3 3 2 1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 4 15 11 3 1
23 2 0 2 3 3 3 1 1 3 3 2 2 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 16 14 5 2 0 4 15 11 3 1
21 2 0 2 0 3 2 1 1 3 3 2 2 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
21 2 0 2 0 3 3 1 1 3 3 2 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 1 15 11 3 1
21 2 0 2 0 3 3 1 1 3 3 2 2 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 16 14 5 6 0 0 15 11 3 1
23 2 0 2 3 3 3 1 1 1 3 0 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
21 2 0 2 0 3 3 1 1 1 3 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 2
21 2 0 2 0 3 3 1 1 1 3 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 2 4 15 11 12 1
20 2 0 2 0 3 2 1 1 1 3 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
23 2 0 2 0 3 3 1 1 1 3 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 1 2 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 3 4 15 11 12 1
25 2 0 2 3 3 3 1 1 1 3 1 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
22 2 0 2 0 3 2 1 1 1 3 1 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 1 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
24 2 0 2 0 3 3 1 1 1 3 1 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
25 2 0 2 3 3 3 1 1 1 3 2 2 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
22 2 0 2 0 3 2 1 1 1 3 2 2 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 2 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 1 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 2 2 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 0 15 11 12 1
24 2 0 2 0 3 3 1 1 1 3 2 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 1
19 2 0 2 3 3 2 1 1 3 3 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 1
18 2 0 2 0 3 2 1 1 3 3 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 2
18 2 0 2 0 3 2 1 1 3 3 0 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 2 7 15 11 3 1
20 2 0 2 0 3 2 1 1 3 3 0 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
20 2 0 2 0 3 2 1 1 3 3 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 16 14 5 6 0 7 15 11 3 1
24 2 0 2 3 3 3 1 1 1 3 2 0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 16 14 5 2 0 4 15 11 12 1
22 2 0 2 0 3 3 1 1 1 3 2 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 4 15 11 12 2
21 2 0 2 0 3 2 1 1 1 3 2 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 16 14 5 6 0 7 15 11 12 1
21 2 0 2 0 3 3 1 1 1 3 2 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 1 1 16 14 5 6 0 0 15 11 12 1
21 2 0 2 3 3 2 1 1 3 3 2 2 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 16 14 5 2 0 7 15 11 3 1
